title,description,price,inventory,magicka_cost,magic_school,skill_level
Chain Lightning,A lighting bolt inflicting 40 points of damage to Health and half as much to Magicka then leaps to a new target. If the character has learned Augmented Shock 2/2 the lightning jumps on one additional target and does 60 damage. Caution! Friendly-fire is possible.,5599,40,156,Destruction,Adept
Fireball,A fireball which explodes on impact for 40 points of damage in a 15-foot radius. Targets on fire take extra damage. If the character has learned Augmented Flames 2/2 the radius of the fire explosion is increased by 5 and damage increases to 60 points. Does harm Followers but not Dragonborn.,5599,40,133,Destruction,Adept
Ice Storm,A freezing whirlwind that does 40 points of damage per second to Health and Stamina. The whirlwind radius is increased if the character has Augmented Frost 2/2. Spell range is smaller if cast with Destruction Dual Casting. Does harm Followers but not Dragonborn.,5599,40,144,Destruction,Adept
Flame Cloak,For 60 seconds opponents in melee range take 8 points of damage per second. Targets on fire take extra damage. Does not harm Followers. Does harm neutral NPCs like town guards.,5599,40,289,Destruction,Adept
Frost Cloak,For 60 seconds opponents in melee range take 8 points of damage per second to Health and Stamina. Does not harm Followers. Does harm neutral NPCs like town guards.,5599,40,316,Destruction,Adept
Lightning Cloak,For 60 seconds nearby opponents take 8 points of damage per second to Health and half as much to Magicka. Does not harm Followers. Does harm neutral NPCs like town guards.,5599,40,370,Destruction,Adept
Whirlwind Cloak DR,For 60 seconds opponents in melee range have a chance of being flung away.,5599,40,338,Destruction,Adept
Close Wounds,Heals the caster 100 points.,4095,40,126,Restoration,Adept
Greater Ward,Increases armor rating by 80 points and negates up to 80 points of spell damage or effects.,4095,40,86 per second,Restoration,Adept
Heal Other,Heals the target 75 points. Does not affect undead atronachs or machines.,4095,40,80,Restoration,Adept
Heal Undead DG,Heals the undead target 75 points but not the living atronachs or machines,4095,40,115,Restoration,Adept
Poison Rune DR,Targets that fail to resist take 3 points of poison damage per second for 30 seconds.,4095,40,146,Restoration,Adept
Repel Lesser Undead,All affected undead up to level 8 flee for 30s.,4095,40,115,Restoration,Adept
Stendarr's Aura DG,For 60 seconds undead in melee range take 10 points sun damage per second,4095,40,248,Restoration,Adept
Turn Undead,Undead up to level 13 flee for 30s.,4095,40,168,Restoration,Adept
Vampire's Bane DG,Sunlight explosion that does 40 points of damage in a 15-foot radius to undead,4095,40,72,Restoration,Adept
Banish Daedra,Weaker summoned daedra are sent back to Oblivion.,3499,40,196,Conjuration,Adept
Bound Bow,Creates a magic bow for 120 seconds. Sheathe it to dispel.,3499,40,207,Conjuration,Adept
Conjure Ash Spawn DR,Summons an Ash Spawn for 60 seconds wherever the caster is pointing:.,3499,40,186,Conjuration,Adept
Conjure Frost Atronach,Summons a Frost Atronach for 60 seconds wherever the caster is pointing.,3499,40,215,Conjuration,Adept
Conjure Mistman DG,Summons a Mistman from the Soul Cairn for 60 seconds wherever the caster is pointing.,3499,40,193,Conjuration,Adept
Conjure Seeker DR,Summons a Seeker for 60 seconds wherever the caster is pointing.,3499,40,157,Conjuration,Adept
Revenant,Reanimate a powerful dead body to fight for the player for 60 seconds.,3499,40,183,Conjuration,Adept
Ash Shell DR,Targets that fail to resist are immobilized in hardened ash for 30 seconds.,3499,40,149 per second,Alteration,Adept
Detect Life,Nearby living creatures (but not undead machines or daedra) can be seen through walls.,3499,40,100 per second,Alteration,Adept
Ironflesh,Improves the caster's armor rating by 80 points for 60 seconds.,3499,40,266,Alteration,Adept
Telekinesis,Can pull an object to you from distance. Add it to your inventory or throw it.,3499,40,170 per second,Alteration,Adept
Transmute,Transmute one piece of unrefined Iron Ore to Silver or Silver Ore to Gold if the caster is carrying any.,3499,40,100,Alteration,Adept
Waterbreathing,Can breathe under water for 60 seconds.,3499,40,222,Alteration,Adept
Firebolt,A bolt of fire that inflicts 25 points of fire damage. Targets on fire take extra damage.,4599,40,41,Destruction,Apprentice
Freeze DR,A spike of ice that does 20 points of frost damage to Health and Stamina and slows the target for 15 seconds.,4599,40,30,Destruction,Apprentice
Ice Spike,A spike of ice that inflicts 25 points of ice damage to Health and Stamina.,4599,40,48,Destruction,Apprentice
Ignite DR,A blast of flame that sets targets of fire doing 4 damage per second for 15 seconds.,4599,40,30,Destruction,Apprentice
Lightning Bolt,A bolt of lightning that inflicts 25 points of shock damage to Health and half as much to Magicka.,4599,40,51,Destruction,Apprentice
Fire Rune,Cast on a nearby surface it explodes for 50 points of damage when enemies come near. Affected targets take extra damage.,4599,40,234,Destruction,Apprentice
Frost Rune,Cast on a nearby surface it explodes for 50 points of damage to Health and Stamina when enemies come near. Movement speed is reduced for affected targets.,4599,40,293,Destruction,Apprentice
Lightning Rune,Cast on a nearby surface it explodes for 50 points of damage to Health and half as much to Magicka when enemies come near.,4599,40,323,Destruction,Apprentice
Fast Healing,Heals the caster 50 points.,3999,40,73,Restoration,Apprentice
Healing Hands,Heals the target 10 points per second but not undead atronachs or machines.,3999,40,25 per second,Restoration,Apprentice
